Parameter,Mean,-1sigma,+1sigma,16th,50th,84th
rp,0.14376252591355915,-0.0002417419352448158,0.00023800150059391512,0.14352159257922897,0.1437633345144738,0.1440013360150677
t0,59958.24727803861,-2.4138462322298437e-05,2.4401808332186192e-05,59958.24725384371,59958.24727798217,59958.24730238398
inc,89.55585279622298,-0.10089021783745977,0.13122322480244009,89.43932891263226,89.54021913046972,89.67144235527216
a,17.736252963470154,-0.23761753986515188,0.17610381738888137,17.526680064940567,17.76429760480572,17.9404014221946
ecc,0.016739524959686454,-0.009935974263484871,0.013821837482895312,0.004871695351769768,0.01480766961525464,0.028629507098149952
u1,0.17913511985093455,-0.021413744937481577,0.02164773124533559,0.157577919980958,0.17899166491843957,0.20063939616377516
u2,0.06483596630089186,-0.0463908281852952,0.046450306887915946,0.018479539888325604,0.0648703680736208,0.11132067496153675
c0,1.0073191837976359,-1.375315626828133e-05,1.3666789411725944e-05,1.0073054729664437,1.007319226122712,1.0073328929121237
c1,-0.00158392214343534,-0.00013150232229833117,0.00013191400799998925,-0.0017154153252306819,-0.0015839130029323507,-0.0014519989949323615
scatter_mult,4.079883725368808,-0.08027526251583783,0.08317527170612316,3.9981818244893024,4.07845708700514,4.161632358711263
