Parameter,Mean,-1sigma,+1sigma,16th,50th,84th
rp,0.14372583093109062,-0.00020585188831084844,0.00021251230370650243,0.1435163197768627,0.14372217166517354,0.14393468396888004
t0,60118.44889373306,-2.088091423502192e-05,2.101701102219522e-05,60118.448872816836,60118.44889369775,60118.44891471476
inc,89.63433020608527,-0.10641119461902804,0.14194394037471625,89.51265008639987,89.6190612810189,89.76100522139362
a,17.77120110331645,-0.24820014016315284,0.19378735371432754,17.549274470829808,17.79747461099296,17.991261964707288
ecc,0.018687077249798276,-0.010988379608919355,0.01438858773631857,0.005941071571433362,0.016929451180352717,0.03131803891667129
u1,0.12084937882242332,-0.01829453801005687,0.018385253447683103,0.1024680099187546,0.12076254792881147,0.13914780137649457
u2,0.14867639953630044,-0.0402527799406794,0.040228767566532014,0.10859223140189957,0.14884501134257896,0.18907377890911098
c0,1.0082649330835178,-1.3458030802659948e-05,1.3572941363726443e-05,1.0082514522969053,1.008264910327708,1.0082784832690717
c1,-0.0016195616304872094,-0.00014346101703629436,0.0001436583252636787,-0.0017628562067440263,-0.001619395189707732,-0.0014757368644440533
scatter_mult,4.407824010062345,-0.08957368141046196,0.09245439714379788,4.316843851321754,4.406417532732216,4.498871929876014
