# rej_sigma = 5
# Rejection = 0.000636532926736641
Epoch,T_pre,T_pre_l,Residual,Top,Down
0,2456514.4107328826,2456514.4115079916,-0.0007751090452075005,-0.0001385761184708595,-0.0014116419719441414
1,2456520.132226146,2456520.1329958998,-0.0007697539404034615,-0.0001332210136668205,-0.0014062868671401024
2,2456525.853719396,2456525.854483808,-0.0007644118741154671,-0.0001278789473788261,-0.001400944800852108
3,2456531.575212633,2456531.575971716,-0.0007590833120048046,-0.00012255038526816364,-0.0013956162387414456
4,2456537.2967058565,2456537.2974596242,-0.0007537677884101868,-0.0001172348616735458,-0.0013903007151468277
5,2456543.0181990666,2456543.0189475324,-0.0007484657689929008,-0.00011193284225625988,-0.0013849986957295418
6,2456548.739692264,2456548.7404354406,-0.0007431767880916595,-0.00010664386135501858,-0.0013797097148283005
7,2456554.4611854474,2456554.4619233487,-0.0007379013113677502,-0.0001013683846311092,-0.0013744342381043911
8,2456560.182678618,2456560.183411257,-0.0007326388731598854,-9.610594642324444e-05,-0.0013691717998965264
9,2456565.904171775,2456565.904899165,-0.0007273899391293526,-9.08570123927116e-05,-0.0013639228658659935
10,2456571.625664919,2456571.626387073,-0.0007221540436148643,-8.562111687822338e-05,-0.0013586869703515053
11,2456577.3471580497,2456577.3478749814,-0.000716931652277708,-8.039872554106708e-05,-0.001353464579014349
12,2456583.068651167,2456583.0693628895,-0.0007117222994565964,-7.51893727199554e-05,-0.0013482552261932373
13,2456588.790144271,2456588.7908507977,-0.0007065264508128166,-6.999352407617565e-05,-0.0013430593775494576
14,2456594.511637362,2456594.512338706,-0.0007013436406850815,-6.481071394844051e-05,-0.0013378765674217225
15,2456600.2331304397,2456600.233826614,-0.0006961743347346783,-5.96414079980373e-05,-0.0013327072614713192
16,2456605.954623504,2456605.955314522,-0.0006910180673003197,-5.44851405636787e-05,-0.0013275509940369606
17,2456611.676116555,2456611.6768024303,-0.000685875304043293,-4.934237730665203e-05,-0.001322408230779934
18,2456617.397609593,2456617.3982903385,-0.0006807455793023109,-4.4212652565669974e-05,-0.001317278506038952
19,2456623.1191026173,2456623.1197782466,-0.0006756293587386608,-3.909643200201984e-05,-0.0013121622854753018
20,2456628.8405956286,2456628.841266155,-0.0006705261766910553,-3.399324995441433e-05,-0.0013070591034276963
21,2456634.5620886264,2456634.562754063,-0.0006654364988207817,-2.890357208414074e-05,-0.0013019694255574227
22,2456640.2835816112,2456640.284241971,-0.0006603598594665527,-2.3826932729911765e-05,-0.0012968927862031937
23,2456646.0050745825,2456646.0057298793,-0.0006552967242896557,-1.8763797553014716e-05,-0.0012918296510262967
24,2456651.726567541,2456651.7272177874,-0.0006502466276288033,-1.3713700892162284e-05,-0.0012867795543654442
25,2456657.4480604855,2456657.4487056956,-0.0006452100351452827,-8.677108408641776e-06,-0.0012817429618819237
26,2456663.1695534172,2456663.1701936037,-0.0006401864811778069,-3.653554441165885e-06,-0.0012767194079144478
27,2456668.8910463355,2456668.891681512,-0.0006351764313876629,1.3564953489780818e-06,-0.0012717093581243039
28,2456674.6125392406,2456674.61316942,-0.0006301794201135635,6.353506623077432e-06,-0.0012667123468502045
29,2456680.3340321323,2456680.334657328,-0.0006251959130167961,1.1337013719844857e-05,-0.001261728839753437
