# rej_sigma = 5
# Rejection = 0.000651401431872709
Epoch,T_pre,T_pre_l,Residual,Top,Down
0,2456514.410740606,2456514.4115079916,-0.0007673855870962143,-0.00011598415522350535,-0.0014187870189689231
1,2456520.1322338246,2456520.1329958998,-0.0007620751857757568,-0.00011067375390304789,-0.0014134766176484657
2,2456525.85372703,2456525.854483808,-0.000756777822971344,-0.00010537639109863505,-0.0014081792548440528
3,2456531.5752202226,2456531.575971716,-0.0007514934986829758,-0.00010009206681026682,-0.0014028949305556846
4,2456537.296713402,2456537.2974596242,-0.0007462222129106522,-9.482078103794321e-05,-0.001397623644783361
5,2456543.0182065684,2456543.0189475324,-0.0007409639656543732,-8.956253378166422e-05,-0.001392365397527082
6,2456548.739699722,2456548.7404354406,-0.0007357187569141388,-8.431732504142985e-05,-0.0013871201887868476
7,2456554.461192862,2456554.4619233487,-0.000730486586689949,-7.908515481724009e-05,-0.0013818880185626579
8,2456560.1826859894,2456560.183411257,-0.0007252674549818039,-7.386602310909495e-05,-0.0013766688868545127
9,2456565.9041791037,2456565.904899165,-0.0007200613617897034,-6.865992991699442e-05,-0.0013714627936624122
10,2456571.625672205,2456571.626387073,-0.0007148683071136475,-6.346687524093851e-05,-0.0013662697389863563
11,2456577.347165293,2456577.3478749814,-0.0007096882909536362,-5.828685908092722e-05,-0.001361089722826345
12,2456583.068658368,2456583.0693628895,-0.0007045213133096695,-5.311988143696055e-05,-0.0013559227451823783
13,2456588.7901514303,2456588.7908507977,-0.0006993673741817474,-4.796594230903849e-05,-0.0013507688060544563
14,2456594.5116444794,2456594.512338706,-0.00069422647356987,-4.282504169716105e-05,-0.0013456279054425788
15,2456600.2331375154,2456600.233826614,-0.0006890986114740372,-3.769717960132822e-05,-0.001340500043346746
16,2456605.9546305384,2456605.955314522,-0.000683983787894249,-3.2582356021540015e-05,-0.0013353852197669578
17,2456611.6761235483,2456611.6768024303,-0.0006788820028305054,-2.7480570957796424e-05,-0.0013302834347032142
18,2456617.397616545,2456617.3982903385,-0.0006737932562828064,-2.239182441009745e-05,-0.0013251946881555152
19,2456623.119109529,2456623.1197782466,-0.000668717548251152,-1.731611637844309e-05,-0.0013201189801238609
20,2456628.8406025,2456628.841266155,-0.0006636548787355423,-1.225344686283335e-05,-0.0013150563106082511
21,2456634.5620954577,2456634.562754063,-0.0006586052477359772,-7.203815863268226e-06,-0.001310006679608686
22,2456640.2835884024,2456640.284241971,-0.0006535686552524567,-2.167223379747718e-06,-0.0013049700871251655
