Epoch,T_mid,Uncertainty,Label,Reference,Valid,T_mid_pre
0,2456514.4110000003,0.0001,Literature-exoclock-Ground&Ground,2017A&A...604A.110A,True,2456514.4110168205
187,2457584.3298062626,1.80327868852459e-05,K2&K2-exoclock,2017MNRAS.469.1622M&WASP-107b_1055_2016-07-14_K2,True,2457584.329798631
194,2457624.380451,8.6e-05,K2-exoclock,WASP-107b_1062_2016-08-23_K2,True,2457624.3802276836
198,2457647.2661,0.00011,K2-exoclock,WASP-107b_1066_2016-09-15_K2,True,2457647.266186928
243,2457904.73315165,4.65414486825466e-05,HST-Ma,Ma et al. 2024,True,2457904.7332176547
244,2457910.45465204,4.581268876791e-05,HST-Ma,Ma et al. 2024,True,2457910.454707002
355,2458545.5412,0.0005,Ground-exoclock,WASP-107b_1223_2019-03-03_Rasteau_Observatory_Clear_Yves_Jongen,True,2458545.539963831
361,2458579.86858,0.0004288,TESS-I&W,Ivshina & Winn 2022,True,2458579.868893206
363,2458591.3117,0.0003547,TESS-I&W,Ivshina & Winn 2022,True,2458591.3118695864
416,2458894.5488,0.0006,Ground-exoclock,WASP-107b_1284_2020-02-15_Observatoire_des_Baronnies_Provençales_Clear_Anaël_Wünsche,True,2458894.5507294224
480,2459260.7251,0.0004,Ground-exoclock,WASP-107b_1348_2021-02-15_Deep_Sky_Chile_R_Yves_Jongen,True,2459260.7259198353
484,2459283.6102,0.0007,Ground-exoclock,WASP-107b_1352_2021-03-10_Deep_Sky_Chile_R_Yves_Jongen,True,2459283.6118679075
488,2459306.4988421053,0.0009263157894736844,Ground-exoclock,WASP-107b_1356_2021-04-01_Deep_Sky_Chile_B_Yves_Jongen&WASP-107b_1356_2021-04-01_Rasteau_Observatory_B_Yves_Jongen,True,2459306.497815823
491,2459323.66338,0.00033,Ground-exoclock,WASP-107b_1359_2021-04-19_El_Sauce_Observatory_R_Anaël_Wünsche,True,2459323.6622766587
495,2459346.5492,0.0007,Ground-exoclock,WASP-107b_1363_2021-05-12_Deep_Sky_Chile_B_Yves_Jongen,True,2459346.5482243025
602,2459958.747278212,1.7199039575643837e-05,JWST,This Work,True,2459958.7472657687
603,2459964.4687633556,1.0968746209982784e-05,JWST,This Work,True,2459964.4687516103
628,2460107.505857895,8.8308e-06,JWST,This Work,True,2460107.5058944747
630,2460118.948893697,1.4799952623434365e-05,JWST,This Work,True,2460118.9488656404
632,2460130.391915689,1.91293001989834e-05,JWST,This Work,True,2460130.391836767
