# rej_sigma = 5
# Rejection = 0.0039930215789911105
Epoch,T_pre,T_pre_l,Residual,Top,Down
0,2456514.4110168205,2456514.41159438,-0.000577559694647789,0.0034154618843433215,-0.0045705812736388995
1,2456520.1325085405,2456520.1330821486,-0.0005736080929636955,0.003419413486027415,-0.004566629671954806
2,2456525.854000251,2456525.854569917,-0.0005696662701666355,0.003423355308824475,-0.004562687849157746
3,2456531.5754919513,2456531.5760576855,-0.000565734226256609,0.0034272873527345015,-0.0045587558052477195
4,2456537.296983642,2456537.297545454,-0.0005618119612336159,0.0034312096177574946,-0.004554833540224726
5,2456543.018475323,2456543.0190332225,-0.0005578994750976562,0.0034351221038934543,-0.004550921054088767
6,2456548.739966994,2456548.740520991,-0.0005539967678487301,0.0034390248111423804,-0.004547018346839841
7,2456554.4614586555,2456554.4620087594,-0.0005501038394868374,0.003442917739504273,-0.004543125418477948
8,2456560.182950307,2456560.183496528,-0.0005462206900119781,0.0034468008889791324,-0.004539242269003089
9,2456565.904441949,2456565.9049842963,-0.0005423473194241524,0.003450674259566958,-0.004535368898415263
10,2456571.625933581,2456571.6264720648,-0.0005384837277233601,0.0034545378512677504,-0.004531505306714471
11,2456577.3474252033,2456577.347959833,-0.0005346299149096012,0.0034583916640815093,-0.004527651493900712
12,2456583.068916816,2456583.0694476017,-0.0005307858809828758,0.0034622356980082347,-0.004523807459973986
13,2456588.7904084185,2456588.79093537,-0.0005269516259431839,0.0034660699530479266,-0.004519973204934294
14,2456594.5119000115,2456594.5124231386,-0.0005231271497905254,0.003469894429200585,-0.004516148728781636
15,2456600.2333915946,2456600.233910907,-0.0005193124525249004,0.00347370912646621,-0.004512334031516011
16,2456605.954883168,2456605.9553986755,-0.0005155075341463089,0.0034775140448448016,-0.004508529113137419
17,2456611.6763747316,2456611.676886444,-0.0005117123946547508,0.0034813091843363597,-0.004504733973645861
18,2456617.3978662854,2456617.3983742124,-0.0005079270340502262,0.0034850945449408843,-0.004500948613041337
19,2456623.1193578294,2456623.119861981,-0.0005041514523327351,0.0034888701266583754,-0.004497173031323846
20,2456628.8408493637,2456628.8413497494,-0.0005003856495022774,0.003492635929488833,-0.004493407228493388
21,2456634.562340888,2456634.562837518,-0.0004966296255588531,0.0034963919534322574,-0.004489651204549964
22,2456640.283832403,2456640.2843252863,-0.0004928833805024624,0.003500138198488648,-0.004485904959493573
23,2456646.005323908,2456646.0058130547,-0.0004891469143331051,0.0035038746646580054,-0.004482168493324216
24,2456651.726815403,2456651.727300823,-0.00048542022705078125,0.0035076013519403293,-0.004478441806041892
25,2456657.4483068883,2456657.4487885917,-0.0004817033186554909,0.0035113182603356196,-0.004474724897646601
26,2456663.1697983644,2456663.17027636,-0.00047799572348594666,0.003515025855505164,-0.004471017302477057
27,2456668.8912898307,2456668.8917641286,-0.0004742979072034359,0.0035187236717876746,-0.004467319486194546
28,2456674.612781287,2456674.613251897,-0.0004706098698079586,0.003522411709183152,-0.004463631448799069
29,2456680.334272734,2456680.3347396655,-0.00046693161129951477,0.0035260899676915957,-0.004459953190290625
