# rej_sigma = 5
# Rejection = 0.0005999966756649162
Epoch,T_pre,T_pre_l,Residual,Top,Down
0,2456514.410631905,2456514.4114719867,-0.0008400818333029747,-0.00024008515763805855,-0.0014400785089678909
1,2456520.1321254103,2456520.132959953,-0.0008345427922904491,-0.000234546116625533,-0.0014345394679553653
2,2456525.853618902,2456525.8544479194,-0.0008290172554552555,-0.00022902057979033935,-0.0014290139311201717
3,2456531.5751123806,2456531.575935886,-0.0008235052227973938,-0.00022350854713247765,-0.00142350189846231
4,2456537.2966058454,2456537.297423852,-0.000818006694316864,-0.00021801001865194786,-0.0014180033699817802
5,2456543.018099297,2456543.0189118185,-0.0008125216700136662,-0.00021252499434875,-0.0014125183456785823
6,2456548.7395927347,2456548.740399785,-0.0008070501498878002,-0.00020705347422288406,-0.0014070468255527164
7,2456554.461086159,2456554.4618877512,-0.0008015921339392662,-0.00020159545827435005,-0.0014015888096041824
8,2456560.18257957,2456560.1833757176,-0.0007961476221680641,-0.00019615094650314796,-0.0013961442978329803
9,2456565.9040729674,2456565.904863684,-0.000790716614574194,-0.0001907199389092778,-0.00139071329023911
10,2456571.625566351,2456571.6263516503,-0.0007852991111576557,-0.00018530243549273956,-0.0013852957868225719
11,2456577.3470597216,2456577.3478396167,-0.0007798951119184494,-0.00017989843625353325,-0.0013798917875833656
12,2456583.0685530785,2456583.069327583,-0.000774504616856575,-0.00017450794119165886,-0.0013745012925214912
13,2456588.790046422,2456588.7908155494,-0.0007691276259720325,-0.0001691309503071164,-0.0013691243016369487
14,2456594.5115397517,2456594.512303516,-0.000763764139264822,-0.00016376746359990585,-0.0013637608149297382
15,2456600.233033068,2456600.233791482,-0.0007584141567349434,-0.00015841748107002724,-0.0013584108323998595
16,2456605.954526371,2456605.9552794485,-0.0007530776783823967,-0.00015308100271748054,-0.0013530743540473129
17,2456611.67601966,2456611.676767415,-0.0007477547042071819,-0.00014775802854226578,-0.001347751379872098
18,2456617.397512936,2456617.3982553813,-0.0007424452342092991,-0.00014244855854438293,-0.0013424419098742152
19,2456623.1190061984,2456623.1197433476,-0.0007371492683887482,-0.00013715259272383202,-0.0013371459440536643
20,2456628.8404994467,2456628.841231314,-0.0007318672724068165,-0.00013187059674190033,-0.0013318639480717326
21,2456634.5619926816,2456634.5627192804,-0.0007265987806022167,-0.00012660210493730057,-0.0013265954562671329
22,2456640.283485903,2456640.2842072467,-0.0007213437929749489,-0.00012134711731003273,-0.001321340468639865
23,2456646.004979111,2456646.005695213,-0.000716102309525013,-0.00011610563386009682,-0.0013160989851899291
24,2456651.726472305,2456651.7271831795,-0.000710874330252409,-0.00011087765458749283,-0.0013108710059173251
25,2456657.447965486,2456657.448671146,-0.0007056598551571369,-0.00010566317949222076,-0.001305656530822053
26,2456663.1694586533,2456663.170159112,-0.0007004588842391968,-0.00010046220857428062,-0.001300455559904113
27,2456668.890951807,2456668.8916470786,-0.0006952714174985886,-9.527474183367241e-05,-0.0012952680931635047
28,2456674.6124449475,2456674.613135045,-0.0006900974549353123,-9.010077927039612e-05,-0.0012900941306002284
29,2456680.3339380743,2456680.3346230113,-0.0006849369965493679,-8.494032088445175e-05,-0.001284933672214284
30,2456686.0554311876,2456686.0561109777,-0.0006797900423407555,-7.979336667583931e-05,-0.0012797867180056716
31,2456691.7769242874,2456691.777598944,-0.0006746565923094749,-7.465991664455879e-05,-0.001274653267974391
32,2456697.4984173737,2456697.4990869104,-0.0006695366464555264,-6.95399707906102e-05,-0.0012695333221204425
33,2456703.2199104466,2456703.2205748768,-0.0006644302047789097,-6.443352911399353e-05,-0.0012644268804438258
34,2456708.941403506,2456708.942062843,-0.0006593372672796249,-5.9340591614708785e-05,-0.001259333942944541
35,2456714.6628965517,2456714.6635508095,-0.0006542578339576721,-5.4261158292755966e-05,-0.0012542545096225883
36,2456720.384389584,2456720.385038776,-0.0006491919048130512,-4.919522914813507e-05,-0.0012491885804779674
37,2456726.1058826027,2456726.106526742,-0.0006441394798457623,-4.41428041808461e-05,-0.0012441361555106784
38,2456731.827375608,2456731.8280147086,-0.0006391005590558052,-3.910388339088905e-05,-0.0012390972347207214
39,2456737.5488686,2456737.549502675,-0.0006340751424431801,-3.407846677826393e-05,-0.0012340718181080962
40,2456743.270361578,2456743.2709906413,-0.0006290632300078869,-2.9066554342970733e-05,-0.001229059905672803
41,2456748.991854543,2456748.9924786077,-0.0006240648217499256,-2.406814608500946e-05,-0.0012240614974148418
42,2456754.7133474937,2456754.713966574,-0.0006190803833305836,-1.908370766566742e-05,-0.0012190770589954997
43,2456760.434840431,2456760.4354545404,-0.0006141094490885735,-1.4112773423657302e-05,-0.0012141061247534896
44,2456766.156333355,2456766.156942507,-0.0006091520190238953,-9.15534335897911e-06,-0.0012091486946888114
45,2456771.877826265,2456771.878430473,-0.000604208093136549,-4.2114174716328424e-06,-0.0012042047688014651
46,2456777.599319162,2456777.5999184395,-0.0005992776714265347,7.190042383815008e-07,-0.0011992743470914508
47,2456783.320812045,2456783.321406406,-0.0005943607538938522,5.63592177106392e-06,-0.0011943574295587684
48,2456789.042304915,2456789.0428943723,-0.0005894573405385017,1.0539335126414414e-05,-0.001189454016203418
49,2456794.763797771,2456794.7643823386,-0.0005845674313604832,1.5429244304432984e-05,-0.0011845641070253993
50,2456800.485290614,2456800.485870305,-0.0005796910263597965,2.030564930511963e-05,-0.0011796877020247127
51,2456806.206783443,2456806.2073582713,-0.0005748281255364418,2.516855012847435e-05,-0.001174824801201358
52,2456811.928276259,2456811.9288462377,-0.000569978728890419,3.0017946774497147e-05,-0.0011699754045553352
53,2456817.6497690612,2456817.650334204,-0.0005651428364217281,3.485383924318802e-05,-0.0011651395120866443
54,2456823.37126185,2456823.3718221704,-0.0005603204481303692,3.967622753454697e-05,-0.0011603171237952853
55,2456829.0927546252,2456829.093310137,-0.0005555115640163422,4.448511164857399e-05,-0.0011555082396812583
56,2456834.814247387,2456834.814798103,-0.0005507161840796471,4.928049158526909e-05,-0.0011507128597445632
57,2456840.5357401352,2456840.5362860695,-0.0005459343083202839,5.4062367344632264e-05,-0.0011459309839852
58,2456846.25723287,2456846.257774036,-0.0005411659367382526,5.8830738926663514e-05,-0.0011411626124031688
59,2456851.978725591,2456851.9792620023,-0.0005364110693335533,6.358560633136284e-05,-0.0011364077449984695
60,2456857.700218299,2456857.7007499686,-0.0005316697061061859,6.832696955873024e-05,-0.001131666381771102
61,2456863.421710993,2456863.422237935,-0.0005269418470561504,7.305482860876572e-05,-0.0011269385227210666
62,2456869.143203674,2456869.1437259014,-0.0005222274921834469,7.776918348146927e-05,-0.001122224167848363
63,2456874.8646963406,2456874.8652138677,-0.0005175271071493626,8.246956851555359e-05,-0.0011175237828142787
64,2456880.586188994,2456880.586701834,-0.0005128402262926102,8.715644937230599e-05,-0.0011128369019575263
65,2456886.3076816336,2456886.3081898005,-0.0005081668496131897,9.182982605172646e-05,-0.0011081635252781059
66,2456892.02917426,2456892.029677767,-0.0005035069771111012,9.6489698553815e-05,-0.0011035036527760173
67,2456897.7506668726,2456897.751165733,-0.0004988606087863445,0.00010113606687857163,-0.0010988572844512607
68,2456903.472159472,2456903.4726536996,-0.0004942277446389198,0.00010576893102599632,-0.001094224420303836
69,2456909.1936520576,2456909.194141666,-0.0004896083846688271,0.0001103882909960891,-0.0010896050603337432
70,2456914.91514463,2456914.9156296323,-0.0004850025288760662,0.00011499414678884995,-0.0010849992045409824
71,2456920.6366371885,2456920.6371175987,-0.0004804101772606373,0.00011958649840427887,-0.0010804068529255534
72,2456926.3581297337,2456926.358605565,-0.0004758313298225403,0.00012416534584237587,-0.0010758280054874564
73,2456932.0796222654,2456932.0800935314,-0.0004712659865617752,0.00012873068910314095,-0.0010712626622266914
74,2456937.8011147836,2456937.801581498,-0.00046671414747834206,0.0001332825281865741,-0.0010667108231432582
75,2456943.5226072883,2456943.523069464,-0.00046217581257224083,0.00013782086309267532,-0.001062172488237157
76,2456949.2440997795,2456949.2445574305,-0.0004576509818434715,0.00014234569382144463,-0.0010576476575083877
77,2456954.965592257,2456954.966045397,-0.00045313965529203415,0.000146857020372882,-0.0010531363309569503
